國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
中華民國,影子背後,2021/09/17,14,255,"58,730","2,294","530,115"
英國,算牌手,2021/09/17,12,178,"40,255","1,639","368,755"
法國,抓狂演訓班,2021/09/17,7,160,"36,995",952,"217,475"
南韓,綁架影帝黃晸珉,2021/09/17,32,145,"34,031","4,657","1,101,916"
波蘭,當世界不再下雪,2021/09/17,3,62,"12,320",527,"109,846"
加拿大,親情解鎖,2021/09/17,4,35,"7,645",543,"113,651"
義大利,為你找個家,2021/09/17,4,31,"5,570",504,"108,627"
美國,沙丘,2021/09/16,99,"92,512","25,411,501","407,692","113,927,746"
日本,東京復仇者,2021/09/10,10,276,"71,005","3,541","883,496"
美國,糖果人,2021/09/10,37,238,"60,431","14,328","3,531,218"
美國,綠騎士,2021/09/10,8,229,"51,875","3,963","902,028"
日本,超越無限2分鐘,2021/09/10,2,87,"21,270","1,412","319,398"
中華民國,波濤最深處,2021/09/10,1,82,"17,220",987,"216,339"
美國,刺客密令,2021/09/10,7,39,"8,629","8,352","1,972,121"
日本,老師！你會不會談戀愛,2021/09/10,2,34,"7,380",624,"145,009"
泰國,老闆衝殺小,2021/09/10,2,17,"3,945","1,982","465,952"
南韓,腦海中的橡皮擦,2021/09/10,3,14,"2,860","1,090","264,276"
美國,尚氣與十環傳奇,2021/09/02,97,"37,707","9,466,996","536,377","138,120,429"
南韓,天坑,2021/09/02,30,"1,161","284,545","54,623","13,467,982"
美國,疾厄,2021/09/02,22,373,"95,729","33,455","8,227,892"
日本,回憶三部曲,2021/09/02,4,301,"74,730","6,940","1,647,741"
中華民國,邪佞,2021/08/27,1,"1,639","262,240","3,620","579,060"
日本,BanG Dream! Episode of RoseliaⅠ約定,2021/08/27,5,16,"3,538","5,869","1,454,820"
南韓,薩滿,2021/08/25,43,"3,208","826,586","178,179","46,356,109"
美國,噤界II,2021/08/25,21,466,"120,716","95,384","24,025,563"
中華民國,期末考,2021/08/20,1,120,"23,400","3,940","842,462"
日本,三島由紀夫vs東大全共鬪,2021/08/20,1,93,"20,340","4,081","904,229"
美國,暫時停止呼吸2,2021/08/20,3,23,"6,050","30,244","7,405,417"
法國,摯愛之路,2021/08/20,1,25,"2,170",342,"65,200"
日本,BanG Dream! Episode of Roselia Ⅱ  Song I am,2021/08/13,11,161,"39,870","5,551","1,377,920"
美國,脫稿玩家,2021/08/12,57,"3,132","801,503","287,278","72,499,674"
美國,玩命關頭9,2021/08/11,61,"3,939","986,532","517,893","133,816,705"
美國,路卡的夏天,2021/08/06,6,283,"59,424","41,411","10,092,203"
美國,自殺突擊隊：集結,2021/08/05,5,65,"16,092","225,898","57,597,232"
