國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
中華民國,少年吔,2022/03/18,14,62,"14,626","139,017","32,515,481"
中華民國,該死的阿修羅,2022/03/11,1,12,"2,760","16,858","3,672,878"
中華民國,我吃了那男孩一整年的早餐,2022/01/28,14,17,"3,820","308,699","73,864,133"
中華民國,素還真,2022/01/28,1,6,960,"94,863","22,542,033"
中華民國,一家之主,2020/10/07,11,84,"18,980","13,242","2,640,475"
中華民國,大餓,2019/11/15,21,"1,361","305,425","10,196","2,269,596"
中華民國,那個我最親愛的陌生人,2019/11/12,17,737,"158,270","5,468","1,163,722"
中華民國,樂園,2019/11/08,13,527,"110,965","18,706","3,971,684"
中華民國,重甲機神：神降臨,2019/11/08,5,51,"12,100","7,129","1,659,929"
中華民國,陽光普照,2019/11/01,50,"28,844","6,806,407","88,531","20,964,013"
中華民國,傻傻愛你，傻傻愛我,2019/11/01,19,702,"153,985","41,854","9,397,707"
中華民國,Thunderbolt Fantasy 西幽玹歌,2019/10/25,10,452,"101,689","19,634","4,615,384"
中華民國,陪你很久很久,2019/10/25,10,305,"71,236","56,528","12,914,671"
中華民國,盲人律師,2019/10/18,9,973,"211,990","24,675","5,411,871"
中華民國,聖人大盜,2019/10/18,1,24,"5,810","35,265","8,109,784"
中華民國,江湖無難事,2019/10/09,1,25,"5,460","40,805","9,065,578"
中華民國,返校,2019/09/20,19,"1,327","312,251","1,108,990","259,381,627"
中華民國,第九分局,2019/08/29,6,"1,252","86,320","248,982","56,771,312"
中華民國,下半場,2019/08/23,3,170,"18,050","100,875","22,866,281"
中華民國,老大人,2019/03/22,1,305,"79,510","61,769","13,525,751"
中華民國,親愛的房客,2020/10/23,62,"19,518","4,589,254","67,620","15,967,809"
中華民國,戀愛好好說,2020/10/23,12,462,"97,225","2,599","559,174"
中華民國,無聲,2020/10/15,59,"29,814","7,128,698","165,192","39,283,011"
中華民國,千年一問,2020/10/08,10,346,"78,330","11,920","2,745,056"
中華民國,刻在你心底的名字,2020/09/30,95,"17,448","4,130,803","390,001","91,482,323"
中華民國,消失的情人節,2020/09/18,44,"1,380","311,420","99,181","22,973,080"
中華民國,本來面目,2020/09/05,15,"1,538","340,190","38,742","8,660,552"
中華民國,馗降：粽邪2,2020/09/02,11,176,"36,120","317,025","71,984,500"
中華民國,可不可以，你也剛好喜歡我,2020/08/21,13,198,"43,805","339,979","79,024,249"
中華民國,逃出立法院,2020/08/14,1,24,"2,160","19,018","4,196,539"
中華民國,哈囉少女,2020/08/07,1,15,"2,100","23,594","5,353,842"
中華民國,怪胎,2020/08/05,3,124,"17,735","193,376","44,956,051"
中華民國,破處,2020/07/03,1,35,"5,360","67,684","12,648,860"
中華民國,大俠胡金銓 第一部曲—先知曾經來過,2022/10/21,25,702,"147,027","4,000","892,600"
中華民國,幻日手記,2022/10/21,4,91,"19,950",139,"30,760"
中華民國,逍遙遊,2011/04/06,3,7,"1,775",37,"8,640"
中華民國,罪後真相,2022/10/18,92,"14,351","3,535,138","19,687","4,839,245"
中華民國,童話·世界,2022/10/13,22,792,"192,317","5,952","1,474,104"
中華民國,孫行者傳,2022/10/13,37,576,"150,766","3,098","771,344"
中華民國,你在我心上,2022/10/07,90,"18,149","4,393,549","37,652","9,073,800"
中華民國,科學少女,2022/09/16,12,"1,655","358,435","29,860","6,916,571"
中華民國,兜兜風,2022/09/16,3,167,"40,480","4,430","995,875"
中華民國,他還年輕,2022/09/02,1,133,"25,270","10,694","2,345,052"
中華民國,民雄鬼屋,2022/07/29,2,161,"10,695","121,036","29,701,331"
中華民國,願未央,2022/03/18,1,18,"1,740","2,950","629,323"
中華民國,我記得,2021/12/24,1,41,"3,550","2,211","473,663"
中華民國,臥虎藏龍,2000/07/07,2,136,"30,450","1,604","402,566"
中華民國,人面魚紅衣小女孩外傳,2018/11/23,93,"131,809","29,320,350","243,737","54,210,294"
中華民國,比悲傷更悲傷的故事,2018/11/18,88,"139,626","32,088,616","139,750","32,114,656"
中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,58,"1,598","349,290","19,200","4,237,653"
中華民國,誰先愛上他的,2018/11/02,88,"33,614","7,795,982","266,780","61,430,965"
中華民國,同學會來嗎,2018/11/02,1,81,"17,830","1,319","291,815"
中華民國,疾風魅影-黑貓中隊,2018/10/26,4,454,"89,070","15,640","3,389,048"
中華民國,狂徒,2018/10/26,1,24,"6,120","25,263","5,642,418"
中華民國,幸福城市,2018/10/26,1,20,"5,040","6,510","1,448,377"
中華民國,紅盒子,2018/10/19,7,313,"72,220","29,923","6,575,302"
中華民國,火焰中的星空,2018/09/27,1,323,"71,080","1,057","232,025"
中華民國,鬥魚,2018/08/17,2,723,"38,155","136,318","30,533,109"
中華民國,愛情線索2：奇妙關係,2018/05/11,1,702,"168,480","1,670","364,740"
中華民國,燒肉粽2019,2020/04/05,1,0,0,0,0
中華民國,前世情人的情人,2020/03/22,1,2,300,2,300
中華民國,我不流行二十年,2020/03/20,4,109,"27,311","1,460","347,713"
中華民國,練愛iNG,2020/03/13,11,100,"24,204","38,749","9,034,887"
中華民國,狂飆一夢,2020/03/06,1,2,500,"1,621","353,594"
中華民國,女鬼橋,2020/02/27,9,83,"17,145","251,147","57,933,570"
中華民國,你的情歌,2020/01/23,4,189,"21,490","83,115","19,422,978"
中華民國,嗨！神獸,2022/02/01,36,247,"55,690","7,110","1,660,025"
中華民國,我吃了那男孩一整年的早餐,2022/01/28,95,"40,963","10,008,561","240,124","58,030,109"
中華民國,素還真,2022/01/28,85,"6,522","1,549,893","88,406","21,088,789"
中華民國,諸葛四郎─英雄的英雄,2022/01/28,24,126,"28,673","7,248","1,681,175"
中華民國,妖果小學─水果奶奶的大秘密,2022/01/21,9,77,"17,510","4,654","1,086,960"
中華民國,再說一次我願意,2022/01/19,4,61,"14,990","23,343","5,500,930"
中華民國,噩兆,2021/12/24,2,8,"1,950","65,523","16,158,081"
中華民國,尋找神話之鳥,2021/12/17,1,308,"57,190","10,770","2,296,119"
中華民國,美國女孩,2021/12/03,4,201,"15,406","80,774","19,130,129"
中華民國,月老,2021/11/24,50,"2,539","622,431","1,085,241","263,414,228"
中華民國,青春弒戀,2021/11/19,2,76,"12,160","16,005","3,862,296"
中華民國,瀑布,2021/10/29,7,296,"30,087","154,462","36,420,618"
中華民國,老鷹之手,2021/10/29,1,60,"12,600","6,397","1,445,010"
中華民國,鱷魚,2021/10/08,1,34,"3,914","11,929","2,761,220"
中華民國,聽見歌 再唱,2021/04/16,1,8,400,"365,350","84,398,474"
中華民國,迷失安狄,2021/1/8,28,"3,559","834,558","7,021","1,682,633"
中華民國,少年阿堯,2021/1/8,7,287,"45,140",814,"129,830"
中華民國,杏林醫院,2020/12/31,87,"10,403","2,385,511","121,134","27,906,540"
中華民國,腿,2020/12/24,45,"1,558","364,358","32,768","7,602,464"
中華民國,親愛的殺手,2020/12/4,3,12,"2,520","27,547","6,396,984"
中華民國,十二夜2：回到第零天,2020/11/27,5,136,"29,155","16,848","3,771,737"
中華民國,同學麥娜絲,2020/11/20,11,360,"84,339","191,407","44,684,862"
中華民國,孤味,2020/11/6,67,"2,771","639,233","821,893","190,083,296"
